name,latitude,longitude,node_id
Amang Rodriguez Memorial Medical Center,14.6361025,121.0984445,32623007
Garcia General Hospital,14.6512201,121.1109386,32821286
Saint Anthony Medical Center,14.6245013,121.1027964,32614732
SDS Medical Center,14.6394264,121.1101051,32619296
San Ramon Hospital,14.6441363,121.1172466,26546322
Saint Victoria Hospital,14.6421814,121.094689,8314237275
St. Vincent Hospital,14.6509537,121.1076272,32821568
VT Maternity Hospital,14.6371064,121.09944,32284930
Jesus Immaculate Concepcion Hospital,14.6383662,121.1089582,32619298
De Guzman Clinic,14.6570412,121.1066938,33120703
Marikina Doctors Hospital and Medical Center,14.6210693,121.0825904,5870211213
Marikina Valley Medical Center,14.6348962,121.1041207,11475850849
P. Gonzales Memorial Hospital,14.6491275,121.0984563,32085111
